name,value
"Blanco, Javier Oscar",6
"Sandrone, Darío Rubén",4
"Percaz, Laura Lucía",15
"Trímboli, Javier Alfonso",15
"Buyán, Sandra Marcela",25
"Rivero, Marcela Mariana",17
"Campos, Mónica",27
"Pujadas, Mabel",24
"Eguiluz, Liliana",24
"Medel, Ricardo",70
"Pintos, Painé",77
"Pacheco, Verónica",77
"Bordone, Matías",70
"Moyano, Estela",12
"Pedrazzani,  Carla",8
"Lamelas, Gabriela",12
"Ramallo, Sabrina",12
"Pedrazzani, Carla",8
"Acuña, Carolina",15
Departamento de inglés,6
"López Rivilli, Marisa",25
"Martínez, María Soledad",25
"Lemme, Daniel Miguel",47
"Paulín, Horacio Luis",47
"Curetti, Sandra",54
"Picatto, Victoria",56
"Rivarosa, Alcira",33
"Diminich, María Cecilia",33
"Caverzacio, Luciana",25
Departamento de Inglés,10
"Díaz, Fabián",6
"Amuchástegui, A",13
"Cuello, S",13
"Díaz, Fabián Gabriel",13
"Jarchum, Patricia",13
"Nieto, P",13
"Peláez Zanatta, Citlali Irene",13
"Martínez, Cecilia",2
"García, Diego",6
"Cerdá, Celeste",6
"Torres, Martín",12
"Cagliero, Leandro",17
"Antrada, Adrián",6
"Antuña, Ana",14
"Del Prato, María Fernanda",14
"Andrada, Adrián",11
"Marconi, Nadia",13
"Galvan, Soledad",13
"Romagnoli, Silvana",2
"Galán, María Eugenia",2
"Morales, Susana",28
"Vidal, Elizabeth",28
"Partepilo, Vanesa",8
"Ruibal, Silvia",7
"Morello, Paulina",18
"Bowman, M. A",10
Esteves. E,10
"Vottero, Beatriz",22
"Daveloza, Valeria",15
"Curetti, Silvia",7
"Daveloza,  Valeria",8
"Bowman, María Alejandra",19
"Esteves, Edurne",4
Paola Roldán,11
Lucía Cugini,11
Romina Cassataro,11
"Terigi, Flavia",98
"Fontana, Adriana",32
"Alonso Alemany, Laura",53
"Bússoli, Silvia",3
"Rosso, María Eugenia",6
"Paredes, Silvia María",24
"Segal, Analía Edit (comp.)",9
"Yepes, Silvia Elizabeth",5
"Macchi, Silvia Analia",5
"González Kriegel, Gastón Pablo",23
"Basel, Valentín",31
"Sapag, Nora",2
Equipo ISEP,6
"Dussel, Inés",23
"Acin, Alicia",2
"Silva, Mónica",12
Uliana Andrea SoledadIIMartínez María Soledad,1
"Uliana, Andrea Soledad",2
Martínez Marìa Soledad,1
"Analía De Longhi, AnalíaIIBermudez, Gonzalo",4
María Adelaida Benvegnú,1
"Benvegnu, M. A",3
"Tomatis, Karina",7
"Barzola, Valeria",4
"Serra, Silvia",11
María Eugenia López y equipos de producción del ISEP,10
María Eugenia López,3
Facundo Boccardi,9
Adrián Andrada y Leandro Cagliero,5
"Viola, Fernanda",11
Sandra Curetti y Victoria Picatto,2
"Curetti, Silvia y Picatto, Victoria",3
Daniela A. Blasco,9
"Blasco, Daniela",3
"Migueltorena, Gabriela",5
"Morello, Paulina y Ruibal, Silvia",1
Liliana  Abrate,1
"Abrate, Liliana",3
Abrate Liliana,3
Andrea Roxana Arnoletto,3
"Esteves, Eduvernes",1
"Wolovelsky, E",9
"D’Iorio, Gabriel",1
"D’Iorio, G",1
Latour,5
Sandrone,9
Baquero,1
Briscioli,1
Carrizales Retamoza,1
Donini,1
Gorostiaga,1
Pini,1
Frassa,1
Muñiz Terra,1
Terigi,15
Vanella,2
Maldonado,6
Acosta,1
Toscano,1
Sburlatti,1
Jacinto,1
Nobile,1
Rossano,1
Scasso,1
Steinberg,1
Tiramonti,1
Ziegler,3
Schoo,1
Mena Martínez,1
Fernández Enguita,1
Riviére Gómez,1
Del Río,1
Álvarez,1
Goodson,1
Kantor,1
Kessler,3
Lerner,12
Montesinos,1
Peretti,1
Uanini,1
Martino,1
Valle,1
Nuñez,1
Toaillez,1
Arendt,3
Baricco,6
Canné,1
Dussel,17
Meirieu,5
Sarlo,1
Serres,1
Shelley,1
Tejada Gómez,1
Cornú,1
Fontana,1
Rancière,5
Sadin,2
Simons,4
Masschelein,4
Van Dijck,1
Simons y Masschelein,5
Pulfer,1
Freire,7
Masschelein|Simons,1
Bijker,6
Pinch,6
Risler,1
Ares,1
Alonso Alemany,1
Anijovich,11
Mora,1
Chevallard,6
Davini,7
Flower,1
Hayes,1
Gutiérrez,1
Litwin,3
López,3
Pacheco,1
Bombini,11
Borgani,1
Santos La Rosa,1
Edelstein,11
Larrosa,10
Equipo de autores de Tu Escuela en Casa,1
Aisenberg,2
Siede,3
Segal,2
Gojman,2
Castro,5
Beltramino,1
Galán,1
Yafar,1
Perrenoud,1
Tyack,1
Tobin,1
Vincent,1
Lahire,3
Thin,1
Yapur,1
Mancebo,1
Monteiro,1
McKinsey,1
Soneira,1
Weaver-Hightower,1
Alliaud,6
De Luca,1
Diker,5
Pineau,4
Porta,1
Puiggrós,1
Roitenburd,1
Vior,1
Broitman,4
Sancha,1
Dibene,1
Falco,1
Lemos,1
Calderón,1
Castro|Terigi,1
Bletramino,1
Coria,5
Basel,1
Darling-Hammond,1
Feldman,1
